name,country,color,sugar,volume,manufacturer,region,grape,year,price
Gigondas,Франция,красное,сухое,0.75 л.,Guigal,Долина Роны,гренаш 70%&сира 20%&мурведр 10%,2020 г.,7 490

Riesling Layet GG,Германия,белое,сухое,0.75 л.,Nik Weis St. Urbans-Hof,Мозель,рислинг 100%,2022 г.,8 990

Семейное наследие,Россия,красное,сухое,0.75 л.,Сикоры,Кубань,каберне совиньон&красностоп&мерло&каберне фран,2019 г.,6 990

Lighea,Италия,белое,сухое,0.75 л.,Donnafugata,Сицилия,зибиббо 100%,2022 г.,4 790

Gavi Villa Scolca,Италия,белое,сухое,0.75 л.,La Scolca,Пьемонт,кортезе 100%,2022 г.,3 990

Sexy Beast,Австралия,красное,сухое,0.75 л.,Two Hands,Южная Австралия,каберне совиньон 100%,2022 г.,5 190

Розе Красная Горка,Россия,розовое,сухое,0.75 л.,Галицкий и Галицкий,Кубань,пино нуар 51%&каберне совиньон 36%&цимлянский черный 13%,2022 г.,3 190

Medusa Albarino,Испания,белое,сухое,0.75 л.,Medusa,Галисия,альбариньо,2022 г.,2 640

Piere Sauvignon,Италия,белое,сухое,0.75 л.,Vie di Romans,Фриули-Венеция-Джулия,совиньон блан 100%,2021 г.,8 990

Мерло Красная Горка,Россия,красное,сухое,0.75 л.,Галицкий и Галицкий,Кубань,мерло 100%,2020 г.,3 490

Gavi La Scolca,Италия,белое,сухое,0.75 л.,La Scolca,Пьемонт,кортезе 100%,2022 г.,3 690

Montepulciano d'Abruzzo Jorio,Италия,красное,сухое,0.75 л.,Umani Ronchi,Абруццо,монтепульчано 100%,2021 г.,2 990

Gnarly Dudes,Австралия,красное,сухое,0.75 л.,Two Hands,Южная Австралия,шираз 100%,2022 г.,5 190

Генерал Мороз Красная Горка,Россия,белое,сладкое,0.375 л.,Галицкий и Галицкий,Кубань,рислинг рейнский 100%,2020 г.,3 990

Pinot Grigio,Италия,белое,сухое,0.75 л.,Colterenzio,Трентино-Альто Адидже,пино гриджио 100%,2022 г.,2 990

Tenuta Regaleali Rosso del Conte,Италия,красное,сухое,0.75 л.,Tasca d'Almerita,Сицилия,неро д авола&перриконе,2017 г.,10 490

Valpolicella,Италия,красное,сухое,0.75 л.,Bertani,Венето,корвина веронезе 80%&рондинелла 20%,2023 г.,2 990

Пино Нуар Семейный Резерв,Россия,красное,сухое,0.75 л.,Сикоры,Кубань,пино нуар 100%,2020 г.,3 990

Alie Rose,Италия,розовое,сухое,0.75 л.,Frescobaldi,Тоскана,сира&верментино,2023 г.,3 690

Совиньон Блан Красная Горка,Россия,белое,сухое,0.75 л.,Галицкий и Галицкий,Кубань,совиньон блан 100%,2021 г.,3 490

Cum Laude,Италия,красное,сухое,0.75 л.,Banfi,Тоскана,каберне совиньон&мерло&санджовезе&сира,2021 г.,4 990

Gewurztraminer,Италия,белое,полусухое,0.75 л.,Colterenzio,Трентино-Альто Адидже,гевюрцтраминер 100%,2023 г.,3 790

Valpolicella Valpantena,Италия,красное,сухое,0.75 л.,Bertani,Венето,корвина веронезе 80%&рондинелла 20%,2022 г.,3 790

Crab & More Zinfandel,Соединенные Штаты Америки,красное,полусухое,0.75 л.,Bronco Wine Company,Калифорния,зинфандель,,1 590

Roero Arneis,Италия,белое,сухое,0.75 л.,Vietti,Пьемонт,арнеис 100%,2021 г.,5 690

Pontellon Albarino,Испания,белое,сухое,0.75 л.,Bodegas Horacio Gomez Araujo,Галисия,альбариньо 100%,2022 г.,2 990

Tenuta Regaleali Cygnus,Италия,красное,сухое,0.75 л.,Tasca d'Almerita,Сицилия,неро д авола 60%&каберне совиньон 40%,2020 г.,4 490

Clos Henri Estate Sauvignon Blanc,Новая Зеландия,белое,сухое,0.75 л.,Clos Henri,Мальборо,совиньон блан 100%,2022 г.,3 990

Dessimis Pinot Grigio,Италия,белое,сухое,0.75 л.,Vie di Romans,Фриули-Венеция-Джулия,пино гриджио 100%,2021 г.,8 990

Greco di Tufo,Италия,белое,сухое,0.75 л.,Feudi di San Gregorio,Кампания,греко 100%,2023 г.,3 690

Рислинг Семейный Резерв,Россия,белое,сухое,0.75 л.,Сикоры,Кубань,рислинг 100%,2020 г.,3 990

Chateauneuf-du-Pape Blanc,Франция,белое,сухое,0.75 л.,Guigal,Долина Роны,гренаш блан 45%&руссан 25%&клерет 15%&бурбуленк 10%&пикпуль 3%&пикардан 2%,2019 г.,9 990

Hacienda Lopez de Haro Gran Reserva,Испания,красное,сухое,0.75 л.,Hacienda Lopez de Haro,Риоха,темпранильо&грасиано,2014 г.,4 290

Riesling Bockstein GG,Германия,белое,сухое,0.75 л.,Nik Weis St. Urbans-Hof,Мозель,рислинг 100%,2021 г.,11 490

Pinot Grigio Mongris,Италия,белое,сухое,0.75 л.,Marco Felluga,Фриули-Венеция-Джулия,пино гриджио 100%,2022 г.,4 290

Совиньон Блан Семейный Резерв,Россия,белое,сухое,0.75 л.,Сикоры,Кубань,совиньон блан 100%,2021 г.,3 490

Tenacity Shiraz,Австралия,красное,сухое,0.75 л.,Two Hands,Южная Австралия,шираз,2022 г.,3 140

Sherazade,Италия,красное,сухое,0.75 л.,Donnafugata,Сицилия,неро д авола 100%,2022 г.,3 990

Кюве №1 Резерв,Россия,красное,сухое,0.75 л.,Усадьба Маркотх,Кубань,каберне совиньон 40%&мерло 40%&сира 20%,2022 г.,2 990

Lugana Le Quaiare,Италия,белое,сухое,0.75 л.,Bertani,Венето,треббьяно ди лугана 100%,2022 г.,4 290

Bourgogne Jurassique,Франция,белое,сухое,0.75 л.,Jean-Marc Brocard (Domaine Sainte-Claire),Бургундия,шардоне 100%,2022 г.,3 490

Red Stone Riesling,Германия,белое,полусухое,0.75 л.,Gunderloch,Рейнгессен,рислинг 100%,2022 г.,3 190

Chianti Classico Riserva,Италия,красное,сухое,0.75 л.,Banfi,Тоскана,санджовезе&канайоло&каберне совиньон,2020 г.,4 690

Bourgogne Kimmeridgien,Франция,белое,сухое,0.75 л.,Jean-Marc Brocard (Domaine Sainte-Claire),Бургундия,шардоне 100%,2022 г.,3 990

Cotes du Rhone Blanc,Франция,белое,сухое,0.75 л.,Guigal,Долина Роны,вионье 60%&руссан 15%&марсан 10%&клерет 8%&бурбуленк 5%&гренаш блан 2%,2022 г.,3 190

Sauvignon Blanc / Semillon,Южная Африка,белое,сухое,0.75 л.,Simonsig,Стелленбош,совиньон блан&семильон,2023 г.,1 640

Alto Adige Lagrein,Италия,красное,сухое,0.75 л.,Colterenzio,Трентино-Альто Адидже,лагрейн 100%,2022 г.,3 490

Merlot Reserve,Россия,красное,сухое,0.75 л.,Усадьба Маркотх,Кубань,мерло,2021 г.,2 990

Finca Nueva Gran Reserva,Испания,красное,сухое,0.75 л.,Finca Nueva,Риоха,темпранильо 100%,2010 г.,6 490

Gruner Veltliner Kittmannsberg,Австрия,белое,сухое,0.75 л.,Nastl,Нижняя Австрия,грюнер вельтлинер 100%,2022 г.,3 490

Chardonnay,Италия,белое,сухое,0.75 л.,Capannelle,Тоскана,шардоне 100%,2013 г.,8 490

Каберне Совиньон Резерв,Россия,красное,сухое,0.75 л.,Усадьба Маркотх,Кубань,каберне совиньон 100%,2022 г.,2 990

Gewurtztraminer,Италия,белое,сухое,0.75 л.,Cantina Terlan,Трентино-Альто Адидже,гевюрцтраминер 100%,2023 г.,4 890

Soffoccone di Vincigliata,Италия,красное,сухое,0.75 л.,Bibi Graetz,Тоскана,санджовезе 100%,2020 г.,9 990

Fritz's Riesling,Германия,белое,полусухое,0.75 л.,Gunderloch,Рейнгессен,рислинг 100%,2022 г.,2 890

Tenuta Regaleali Lamuri,Италия,красное,сухое,0.75 л.,Tasca d'Almerita,Сицилия,неро д авола 100%,2020 г.,3 990

Paddle Creek Riesling,Новая Зеландия,белое,сухое,0.75 л.,Lake Road Group Limited,Мальборо,рислинг 100%,2022 г.,2 290

Cortegaia,Италия,белое,сухое,0.75 л.,La Scolca,Пьемонт,кортезе,2022 г.,2 990

Beaujolais-Villages,Франция,красное,сухое,0.75 л.,Joseph Drouhin,Бургундия,гаме 100%,2021 г.,3 990

